,Title,Release_Year,Genre,Synopsis,image_url,image_id
0,Sweet Magnolias,(2020– ),"
Drama, Romance            ","
Three South Carolina women, best friends since high school, shepherd one another through the complexities of romance, career, and family.","https://m.media-amazon.com/images/M/MV5BZjBmNTI2ZDEtOThhMy00OTkyLTg5Y2ItMTUxMzU4NWI1MzhhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY98_CR1,0,67,98_AL_.jpg",tt9077540
1,Raised by Wolves,(2020– ),"
Drama, Fantasy, Sci-Fi            ","
Androids are tasked with raising human children on a mysterious planet.","https://m.media-amazon.com/images/M/MV5BNzk0ZTZlOGItMjQ0MC00YzYyLWIwYjgtMGM4NDdkOTlhYzIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt9170108
2,CODA,(2021),"
Comedy, Drama, Music            ","
As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music by wanting to go to Berklee College of Music and her fear of abandoning her parents.","https://m.media-amazon.com/images/M/MV5BNGNmMzJjMTItODA0OC00ZWM0LWJmMTctMDg3MzM2M2Y5NTIyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10366460
3,Ted Lasso,(2020– ),"
Comedy, Drama, Sport            ","
American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.","https://m.media-amazon.com/images/M/MV5BMDVmODUzNmEtMGMxZC00NWUzLTkxMTAtMDM5OTQzMWE0ZDM3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10986410
4,Snowpiercer,(2020– ),"
Action, Drama, Sci-Fi            ","
Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.","https://m.media-amazon.com/images/M/MV5BYTY1MDhjOWQtYWFkNS00ODA1LTg1YTUtZDhmZDE0MDJlMzIwXkEyXkFqcGdeQXVyMTI4MDc0NjU2._V1_UX67_CR0,0,67,98_AL_.jpg",tt6156584
5,Resident Alien,(2021– ),"
Comedy, Drama, Mystery            ","
A crash-landed alien named Harry who takes on the identity of a small-town Colorado doctor and slowly begins to wrestle with the moral dilemma of his secret mission on Earth.","https://m.media-amazon.com/images/M/MV5BMTQzODE1MzYtMTM5Mi00YWM1LTgwZTctNTEzMWI2ZGQ3NWM1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",tt8690918
6,The Hunt,(II) (2020),"
Action, Horror, Thriller            ","
Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.","https://m.media-amazon.com/images/M/MV5BNjg4MjRhZjgtNTIxOS00MmRjLTg4NTEtNjBkNzkwZjAxMjMyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt8244784
7,Power Book II: Ghost,(2020– ),"
Crime, Drama            ","
The journey of some of Power's most controversial characters.","https://m.media-amazon.com/images/M/MV5BZGIwMTU4YmMtY2ViZi00MjAzLTlmYTQtZTIyOWI0ZDA3YmE4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10732104
8,Flykt,(2021),"
Documentary, Animation, Drama            ","
FLEE tells the extraordinary true story of a man, Amin, on the verge of marriage which compels him to reveal his hidden past for the first time.","https://m.media-amazon.com/images/M/MV5BMTBmYzU0NWQtMmE3NC00MTEyLWJlMDktOGIzYTlmZjJlNDZhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt8430054
9,Emily in Paris,(2020– ),"
Comedy, Drama, Romance            ","
A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.","https://m.media-amazon.com/images/M/MV5BYjY3ZWEzYjQtZThmZS00OTQwLWE0NjYtODgyMmFmYTA5M2UzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg",tt8962124
10,9-1-1: Lone Star,(2020– ),"
Action, Drama, Thriller            ","
A New York firefighter relocates to Austin, Texas with his son, where he works to save people's lives while trying to solve his own personal problems.","https://m.media-amazon.com/images/M/MV5BZjNhNTI0ZTItNTJlMC00ZDI3LWEzNmYtYWFlODUwYjYxNGU3XkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10323338
11,The Great,(2020– ),"
Biography, Comedy, Drama            ","
A royal woman living in rural Russia during the 18th century is forced to choose between her own personal happiness and the future of Russia, when she marries an Emperor.","https://m.media-amazon.com/images/M/MV5BYzVmOGNlOTctZGFhZi00MTczLTg1MTEtYTg3ZTNkNjQ2YjRlXkEyXkFqcGdeQXVyNjYxNjc0OTc@._V1_UX67_CR0,0,67,98_AL_.jpg",tt2235759
12,Pleasure,(2021),"
Drama            ","
Bella Cherry arrives in Los Angeles with dreams of becoming an adult film star, but she soon learns that fame won't come easy as she harnesses her ambition and cunning to rise to the top of this mesmerizing and singular world.","https://m.media-amazon.com/images/M/MV5BMDUzMmIwYWMtMjNjOS00NGNkLThkY2MtOGNlOTY1ZWVkYjRkXkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_UX67_CR0,0,67,98_AL_.jpg",tt8550054
13,I vår herres hage,(2020– ),"
Comedy, Drama            ","
The numerous adventures of a friendly staff at a country veterinarian practice in 1930s to 1940s Yorkshire.","https://m.media-amazon.com/images/M/MV5BZGU5NGRiMjAtMTJhYy00ZmNjLWJiNzktYTMwZTNhNzI1NTM5XkEyXkFqcGdeQXVyNDk3ODk4OQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10590066
